Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
06/03/2022 13:27;KRa;1;223;198;25;10;1245
06/03/2022 13:27;PLN;1;98;29;69;20;1020
07/03/2022 11:22;KRa;3;227;201;26;10;1240
07/03/2022 11:22;Gessien;1;104;43;61;20;983
08/03/2022 09:16;Colas;3;145;81;64;20;1060
08/03/2022 09:16;LL;1;65;21;44;20;889
09/03/2022 07:11;Colas;3;149;84;65;20;1068
09/03/2022 07:11;Gessien;1;108;44;64;20;975
10/03/2022 05:06;KRa;3;231;204;27;10;1234
10/03/2022 05:06;Jacquet;1;21;4;17;40;887
11/03/2022 03:00;KRa;3;235;207;28;10;1228
11/03/2022 03:00;Jacquet;1;25;5;20;40;912
12/03/2022 00:55;KRa;3;238;210;28;10;1230
12/03/2022 00:55;Jacquet;0;28;5;23;40;902
12/03/2022 22:50;KRa;3;241;213;28;10;1232
12/03/2022 22:50;LL;0;68;21;47;20;884
13/03/2022 20:45;KRa;3;244;216;28;10;1235
13/03/2022 20:45;Gessien;0;111;44;67;20;968
14/03/2022 18:39;PLN;3;101;32;69;20;1044
14/03/2022 18:39;Gessien;0;114;44;70;20;944
15/03/2022 16:34;PLN;2;104;34;70;20;1044
15/03/2022 16:34;Gessien;1;117;45;72;20;944
16/03/2022 14:29;Remi;1;20;7;13;40;947
16/03/2022 14:29;Colas;1;151;85;66;20;1059
17/03/2022 12:24;Gessien;1;119;46;73;20;951
17/03/2022 12:24;PLN;1;106;35;71;20;1037
18/03/2022 10:18;Colas;2;153;87;66;20;1071
18/03/2022 10:18;Gessien;0;121;46;75;20;939
19/03/2022 08:13;PLN;2;108;37;71;20;1050
19/03/2022 08:13;Remi;0;22;7;15;40;921
20/03/2022 06:08;Colas;1;155;88;67;20;1070
20/03/2022 06:08;PLN;1;110;38;72;20;1051
21/03/2022 04:02;Remi;1;24;8;16;40;923
21/03/2022 04:02;Gessien;1;123;47;76;20;938
22/03/2022 01:57;PLN;1;115;39;76;20;1051
